Gap,Reaction Time,undergraduate gpa,Exp avg,Sop avg,GPA avg,LoR avg,distance to campus,length,Response-letter sent,last 60/90 gpa,decision 1,decision 2,academic con,campus1,campus2,campus3,campus4,campus5,dposit received,follow up,1411,272,1632,1645,master or not,term,1st gen,residency,response
1.649693176,1.013404214,0.777795818,1.105091789,0.725592665,0.52396758,0.941209096,0.062421237,1.841229656,0.360998401,4.530867438,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1
0.773781795,0.983598207,0.777795818,0.947221533,1.088388997,0.392975685,1.210125981,0.051398018,1.380922242,0.1203328,4.123415331,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1
1.15706812,1.311464276,0.780845998,0.947221533,0.725592665,0.52396758,0.806750654,0.060990543,0.920614828,0.401109334,4.38418468,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1
0.009612196,2.265256477,0.780845998,1.105091789,0.967456886,0.78595137,0.941209096,0.080283989,1.380922242,0.080221867,5.052406136,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1
0.943196754,1.907584402,0.786946357,0.631481022,0.725592665,0.26198379,0.806750654,0.011701661,1.380922242,0.842329601,4.856829125,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1
0,2.757055581,0.704591506,1.105091789,0.604660554,0.52396758,0.941209096,0.029861615,1.380922242,0.802218668,4.123415331,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
0.225886611,1.877778396,0.793046717,1.262962044,0.725592665,0.52396758,1.075667538,0.04687624,0.920614828,0.1203328,4.824232956,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
2.230029522,1.102822232,0.793046717,1.578702555,1.209321108,0.52396758,1.344584423,0.341895026,0.920614828,0.080221867,4.61235786,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1
3.397911363,0.596120126,0.793046717,1.4208323,0.967456886,0.52396758,0.806750654,0.076528025,0.920614828,0.401109334,4.644954029,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1
2.357391122,1.207143254,0.796096896,1.4208323,0.967456886,0.78595137,1.075667538,0.037706914,1.380922242,0.1203328,5.085002305,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
1.784263923,2.906085612,0.799147076,1.262962044,0.846524776,0.52396758,1.075667538,0.085958728,1.380922242,0.1203328,4.742742534,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
1.34570747,1.475397311,0.799147076,1.578702555,1.209321108,0.52396758,1.344584423,0.032742315,1.380922242,0.1203328,4.824232956,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
0.762968075,1.222046258,0.799147076,1.262962044,0.967456886,0.654959475,0.941209096,0.126206351,1.841229656,0.561553068,4.84053104,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1
0.207863743,1.013404214,0.799147076,0.947221533,0.846524776,0.392975685,1.075667538,4.942142664,1.380922242,0.360998401,3.797453644,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.299179607,1.236949261,0.799147076,1.105091789,1.088388997,0.52396758,1.210125981,0.016517399,1.380922242,0.481331201,4.72644445,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
0.322008573,0.99850121,0.799147076,1.105091789,0.846524776,0.52396758,1.075667538,0.125020224,0.920614828,0.481331201,4.416780848,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1
0.230692709,1.579718333,0.799147076,0.789351278,0.725592665,0.654959475,0.672292211,0.233518013,0.920614828,0.040110933,4.938319546,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
2.205999032,1.058113223,0.802197256,0.631481022,0.725592665,0.52396758,0.537833769,0.337513449,1.380922242,4.733090141,4.237501921,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2.304524043,1.341270283,0.805247435,0.315740511,0.725592665,1.178927055,1.075667538,0.241998449,0.920614828,0.401109334,4.987213799,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
0.701690324,1.177337248,0.808297615,0.947221533,0.846524776,0.78595137,0.806750654,0.072560889,0.920614828,0.441220267,4.710146366,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1
0.568321101,2.071517437,0.811347795,0,0,0,0,0.874734882,0.920614828,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
0.82544735,2.32486849,0.811347795,1.262962044,0.846524776,0.392975685,1.075667538,0.034795589,0.920614828,0.280776534,4.188607668,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1
1.350513569,1.162434245,0.811347795,0.789351278,1.088388997,0.78595137,0.672292211,5.64247129,0.920614828,0.601664001,5.525050581,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
2.923309175,1.892681399,0.814397974,1.262962044,1.088388997,0.52396758,1.210125981,0.025899083,1.380922242,0.040110933,4.742742534,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1
0.001201525,0.894180188,0.814397974,1.4208323,0.604660554,0.52396758,0.806750654,0.448835345,0.920614828,0.200554667,4.824232956,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
0.079300619,1.654233349,0.820498334,1.105091789,0.846524776,0.52396758,0.941209096,0.021127056,0.920614828,0.160443734,4.579761691,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1
0.219878988,2.056614433,0.820498334,0.631481022,0.967456886,0.52396758,1.075667538,0.016114929,1.380922242,0.1203328,4.318992342,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
